Role,Cluster,Type,Skills
administrative & finance coordinator,administrative & finance coordinator_-1,role,"'military experience', 'direct current (dc)', 'ims database'"
administrative & finance coordinator,administrative & finance coordinator_1,role,"'home office setup', 'microsoft powerpoint', 'microsoft word'"
administrative assistant/technologist,administrative assistant/technologist_-1,role,"'data entry', 'device drivers', 'focus erp', 'form design', 'microsoft publisher'"
administrative assistant/technologist,administrative assistant/technologist_1,role,"'dispatching', 'scheduling', 'supervision', 'time management', 'transportation logistics'"
administrative assistant/technologist,administrative assistant/technologist_0,role,"'telephone skills', 'quick learner'"
administrative specialist,administrative specialist_-1,role,"'accounts payable/receivable', 'data backup', 'basic computer skills', 'cash register operation', 'catalog management', 'decision-making', 'direction', 'internal controls implementation', 'interviewing', 'omb circular a-133', 'policy development', 'business process improvement', 'quickbooks'"
administrative specialist,administrative specialist_2,role,"'administrative skills', 'cashier skills', 'clerical skills'"
administrative specialist,administrative specialist_1,role,"'agency management', 'conference management', 'contract management', 'fund management'"
administrative specialist,administrative specialist_0,role,"'billing', 'finance'"
administrative technical aide,administrative technical aide_-1,role,"'geographic information systems (gis)', 'lighting design'"
administrator/accountant,administrator/accountant_0,role,"'accounts payable/receivable', 'full accounting cycle', 'general ledger accounting'"
administrator/accountant,administrator/accountant_1,role,"'cdi', 'microsoft powerpoint', 'microsoft word', 'pclaw', 'sage peachtree', 'pico framework', 'pr software'"
admissions coordinator,admissions coordinator_-1,role,"'public relations (pr)', 'telephone skills', 'transportation logistics', 'form design', 'patient safety', 'presentation skills', 'internet research', 'pricing strategy'"
admissions coordinator,admissions coordinator_0,role,"'policy development', 'conference management', 'contract administration', 'purchasing', 'billing', 'insurance', 'benefits administration'"
admissions coordinator,admissions coordinator_1,role,"'scheduling', 'travel arrangements', 'appointment scheduling'"
admissions director,admissions director_-1,role,"'public relations (pr)', 'telephone skills', 'transportation logistics', 'form design', 'patient safety', 'presentation skills', 'internet research', 'pricing strategy', 'computer programming', 'microsoft access', 'team building'"
admissions director,admissions director_0,role,"'policy development', 'conference management', 'scheduling', 'contract administration', 'purchasing', 'billing', 'insurance', 'benefits administration'"
admissions director,admissions director_1,role,"'travel arrangements', 'appointment scheduling'"
"advisory, forensic and audit associate","advisory, forensic and audit associate_-1",role,"'balance sheet preparation', 'derivatives trading', 'equity trading', 'finance', 'fund management', 'government regulations', 'investment management', 'general ledger', 'mergers and acquisitions (m&a)', 'natural language processing', 'web page design', 'accounts payable', 'business process improvement', 'computer programming', 'real estate', 'scheme programming', 'telephone skills'"
aircraft mechanic / electrician / avionics technician,aircraft mechanic / electrician / avionics technician_-1,role,"'microsoft access', 'microsoft project', 'program management'"
