Role,Cluster,Type,Skills
software engineering analyst,software engineering analyst_0,role,"'business processes', 'event management'"
software engineering analyst,software engineering analyst_2,role,"'chemistry', 'mathematics', 'physics', 'simulation'"
software engineering analyst,software engineering analyst_3,role,"'software developer', 'computer programming', 'progress software', 'r programming'"
software engineering analyst,software engineering analyst_-1,role,"'functional testing', 'oil industry', 'sql', 'streak crm', 'tableau', 'trello'"
software engineering analyst,software engineering analyst_1,role,"'hp hardware', 'hp alm quality center', 'hp quicktest professional (qtp)'"
software engineering intern,software engineering intern_0,role,'java programming'
software engineering manager,software engineering manager_-1,role,"'mentoring', 'intellectual property (ip)', 'window installation', 'dynamic html5', 'performance reviews', 'mediation', 'california regulations', 'xml', 'innovation management', 'affirmative action compliance', 'devops', 'command line interface (cli)', 'jenkins ci', 'content creation', 'json', 'file transfer protocol (ftp)', 'threading', 'cascading style sheets (css)', 'windows explorer', 'megabytes (mb)', 'atl marketing', 'onboarding', 'component object model (com)', 'memory management', 'intrusion detection systems (ids)', 'functional testing', 'proxy servers', 'apache spark'"
software engineering manager,software engineering manager_2,role,"'web page design', 'conceptual design', 'methodology', 'graphical user interface (gui) design'"
software engineering manager,software engineering manager_1,role,"'audio engineering', 'broadcast engineering', 'bridge engineering', 'technical specifications'"
software engineering manager,software engineering manager_0,role,"'network attached storage (nas)', 'data migration', 'local area network (lan)', 'storage area network (san)', 'data backup', 'sql', 'data access', 'nosql databases'"
software engineering manager,software engineering manager_4,role,"'c# programming', 'java programming', 'visual c++', '.net', 'object-oriented programming (oop)'"
software engineering manager,software engineering manager_3,role,"'recruiting', 'team building', 'employee relations', 'compensation administration', 'workflow management', 'personnel records management', 'team management', 'server administration'"
software engineering team lead,software engineering team lead_-1,role,"'mcse certification', 'data access', 'computer networking', 'itil', 'email communication', '.net', 'active directory', 'bridge engineering', 'desktop support', 'microsoft technologies', 'software as a service (saas)', 'service level agreements (sla)', 'microsoft access', 'medical imaging', 'dynamic host configuration protocol (dhcp)', 'window installation', 'data migration', 'router configuration', 'messaging systems', 'server administration', 'technical support', 'c# programming', 'team building', 'sql'"
software implementation team member,software implementation team member_0,role,"'cabling installation', 'hardware installation', 'network installation', 'network design', 'operating systems', 'network troubleshooting'"
software implementation team member,software implementation team member_1,role,"'database administration', 'database programming', 'linux programming', 'java programming'"
software implementation team member,software implementation team member_-1,role,"'firewall administration', 'ip addressing', 'monitoring and evaluation (m&e)', 'negotiation'"
software quality assurance,software quality assurance_-1,role,"'adt security systems', 'basis accounting', 'billing', 'client-server architecture', 'collections', 'dbase iv', 'design review', 'dispatching', 'dos', 'graphical user interface (gui) design', 'ieee standards', 'quality inspection', 'invoicing', 'java programming', 'linux administration', 'lotus notes', 'microsoft access', 'visual basic', 'novell netware', 'pocket pc', 'progress software', 'proposal writing', 'retail marketing', 'scheduling', 'shipping and receiving', 'unix', 'voice over ip (voip)', 'windows 95'"
software quality assurance,software quality assurance_0,role,"'application analysis', 'application support', 'solution architecture', 'back-end development', 'black box testing', 'business intelligence (bi)', 'case management', 'contract management', 'data acquisition', 'data collection', 'data integrity', 'data warehousing', 'database systems', 'ibm db2', 'dbase', 'data encryption', 'file management', 'systems integration', 'integration testing', 'systems integrator', 'issues management', 'product development', 'oracle database', 'qa testing', 'regression testing', 'retail operations', 'storage area network (san)', 'information security', 'sql', 'structured programming', 'system integration', 'technical support', 'test case development', 'test planning', 'usability testing', 'visual testing', 'white box testing'"
software quality assurance,software quality assurance_1,role,"'file transfer protocol (ftp)', 'ipx protocol', 'local area network (lan)', 'netbeui protocol', 'computer networking', 'transmission control protocol (tcp)', 'tcp/ip networking', 'wireless application protocol (wap)', 'wireless networking'"
solutions analyst,solutions analyst_-1,role,"'salesforce lead management', 'account management', 'brand development', 'multitasking'"
special clerk,special clerk_-1,role,"'assistance', 'ccp', 'interior decorating', 'icgs/idds systems', 'lfacs system', 'lotus sametime', 'microstation', 'event planning', 'office switchboard operation', 'plat indexes', 'requestnet', 'ringbuilder software', 'network switching', 'tirks system', 'traffic control systems', 'event management', 'microsoft word', 'workforce management systems', 'wsam image'"
"specialist, user applications","specialist, user applications_-1",role,"'administrative skills', 'learning management systems (lms)', 'professionalism', 'crm software', 'technical support'"
sponsorship & exhibition account executive,sponsorship & exhibition account executive_-1,role,"'business development', 'certified nursing assistant (cna)', 'cold calling', 'multitasking'"
sponsorship & exhibition account executive,sponsorship & exhibition account executive_0,role,"'computer literacy', 'customer needs assessment'"
sponsorship & exhibition account executive,sponsorship & exhibition account executive_1,role,"'lead generation', 'report generation'"
staff accountant,staff accountant_0,role,"'scheduling', 'year-end processing', 'month-end close'"
staff accountant,staff accountant_-1,role,"'grant writing', 'designer 2000', 'microsoft powerpoint', 'team building', 'closing procedures', 'quickbooks', 'government regulations', 'insurance', 'algebra', 'training materials', 'real estate', 'reading comprehension', 'business objects', 'business process improvement', 'image freeway', 'kronos workforce management', 'lotus notes', 'abila mip fund accounting', 'email communication', 'sage peachtree', 'macros', 'record keeping', 'data visualization', 'software as a service (saas)', 'progress software', 'munis', 'negotiation', 'critical thinking', 'results-oriented', 'ultratax cs', 'benefits administration', 'accounts receivable', 'job costing', 'american institute of architects (aia)', 'accruals', 'advertising', 'general ledger', 'coding', 'form design', 'full product lifecycle management', 'online advertising', 'timberline software', 'netscape messenger', 'lx systems', 'as/400', 'valuation', 'jd edwards enterpriseone', 'system monitoring', 'sarbanes-oxley (sox) compliance', 'invoicing', 'technical support', 'os/2', 'bookkeeping', 'anytime scheduler', 'proposal writing', 'office equipment operation', 'policy development'"
staff accountant,staff accountant_3,role,"'finance', 'financial statement preparation', 'balance sheet preparation', 'credit analysis', 'financial research', 'general ledger accounting', 'financial controller', 'sage mas 90', 'cash flow projections', 'data access', 'financial systems analysis', 'corporate finance', 'accounting software', 'tax preparation', 'microsoft accounting', 'sage accounting software', 'account balancing', 'tax accounting', 'balance sheets', 'daily cash receipts', 'sage fixed assets', 'financial reporting', 'microsoft word', 'fixed asset accounting', 'report generation', 'data entry', 'annual reports', 'frx financial reporting', 'research support', 'debit accounting', 'microsoft access', 'data collection', 'tax law'"
staff accountant,staff accountant_4,role,"'meeting management', 'computer programming', 'contract management', 'software developer', 'utilities management', 'prime contract management', 'program management', 'delivery management'"
staff accountant,staff accountant_5,role,"'acquisitions', 'billing', 'accounts payable', 'purchasing', 'procurement'"
staff accountant,staff accountant_1,role,"'oracle database', 'database administrator (dba)', 'presentation skills', 'database tables', 'analytical skills', 'telephone skills', 'administrative skills', 'sql'"
staff accountant,staff accountant_2,role,"'system integration', 'operating systems'"
staff accountant finance manager,staff accountant finance manager_-1,role,"'data access', 'accounts receivable', 'arabic language', 'balance sheet preparation', 'billing', 'bookkeeping', 'closing procedures', 'general ledger', 'system monitoring', 'microsoft word', 'microsoft powerpoint', 'business process improvement', 'profitability analysis', 'profit and loss (p&l) analysis', 'quickbooks', 'report generation', 'supervision', 'swedish language', 'tax preparation'"
staff accountant finance manager,staff accountant finance manager_0,role,"'accounting software', 'general ledger accounting', 'public accounting'"
staff accountant finance manager,staff accountant finance manager_1,role,"'financial controller', 'equity trading', 'finance', 'investment management', 'financial statement preparation'"
staff accountant/ lease administrator,staff accountant/ lease administrator_0,role,"'accounts payable', 'accruals', 'account balancing', 'balance sheet preparation', 'balance sheets', 'benefits administration', 'billing', 'credit analysis', 'expense reporting', 'finance', 'financial reporting', 'general ledger accounting', 'insurance', 'business correspondence', 'profit and loss (p&l) analysis', 'real estate', 'report generation', 'tax preparation', 'treasury management'"
staff accountant/ lease administrator,staff accountant/ lease administrator_-1,role,"'cobol programming', 'dialysis', 'month-end close', 'microsoft powerpoint', 'primary care', 'business process improvement', 'settlements', 'tax law'"
staff accountant/ lease administrator,staff accountant/ lease administrator_1,role,"'computer programming', 'microsoft word'"
staff auditor,staff auditor_0,role,"'accounts payable', 'billing'"
staff auditor,staff auditor_-1,role,"'accounts receivable', 'administrative skills', 'analytical skills', 'closing procedures', 'record keeping', 'month-end close', 'policy development', 'tax law'"
staff auditor,staff auditor_1,role,"'annual reports', 'finance', 'financial reporting', 'financial statement preparation', 'report generation', 'tax preparation'"
staffing manager,staffing manager_0,role,"'accounts payable', 'billing'"
staffing manager,staffing manager_-1,role,"'accounts receivable', 'adjustments', 'administrative management', 'annuities', 'balance sheet preparation', 'cash handling', 'clerical skills', 'closing procedures', 'certified public accountant (cpa)', 'credit analysis', 'crime scene investigation (csi)', 'direct sales', 'food safety', 'government contracts', 'life insurance', 'merchandising', 'sales reporting', 'computer networking', 'procedure writing', 'public relations (pr)', 'receptionist duties', 'reconciliation', 'shipping and receiving', 'software training', 'team building', 'telephone skills'"
staffing manager,staffing manager_3,role,"'automated payroll processing', 'order processing', 'payroll processing'"
staffing manager,staffing manager_1,role,"'bookkeeping', 'general ledger accounting'"
staffing manager,staffing manager_2,role,"'contract management', 'staffing'"
statistical analyst,statistical analyst_-1,role,"'natural language processing (nlp)', 'numerical analysis', 'regression analysis'"
stock clerk,stock clerk_-1,role,"'intuit proseries', 'microsoft access', 'microsoft powerpoint', 'microsoft word', 'quickbooks', 'sage accounting software'"
store manager,store manager_0,role,"'computer programming', 'data warehousing', 'pr software', 'crm software'"
store manager,store manager_-1,role,"'business acumen', 'accounts receivable', 'it support', 'desktop publishing', 'conflict management', 'negotiation', 'focus erp', 'numerical analysis', 'microsoft access'"
store manager,store manager_1,role,"'mathematics', 'algebra', 'geometry', 'physics'"
strategy analyst,strategy analyst_-1,role,"'statistics', 'software as a service (saas)', 'visual basic for applications (vba)', 'capital markets', 'investment research', 'matlab'"
student accounts representative/bookkeeper,student accounts representative/bookkeeper_0,role,"'accounts payable', 'accounts receivable', 'billing', 'cash handling', 'contract management', 'credit analysis', 'finance', 'general ledger accounting', 'policy development', 'pricing strategy', 'purchasing', 'receiving'"
student accounts representative/bookkeeper,student accounts representative/bookkeeper_-1,role,"'closing procedures', 'grant writing', 'novell groupwise', 'mentoring', 'merchandising', 'public speaking', 'reconciliation', 'time management'"
student accounts representative/bookkeeper,student accounts representative/bookkeeper_1,role,"'form design', 'instructional design', 'packaging design'"
student ambassador,student ambassador_-1,role,"'app development', 'cascading style sheets (css)', 'java programming', 'linux administration', 'php programming', 'sql', 'user-centered design', 'visual basic'"
student loan consultant,student loan consultant_-1,role,"'business development', 'business-to-business (b2b)', 'business-to-customer (b2c)', 'contract negotiation', 'profit and loss (p&l) management'"
student research assistant,student research assistant_-1,role,"'data science', 'data visualization', 'decision trees'"
student web developer,student web developer_-1,role,"'adobe dreamweaver', 'adobe photoshop', 'java programming', 'linux administration', 'mac os', 'matlab', 'perl programming', 'php programming', 'scheme programming', 'self-motivation'"
subcontract accountant,subcontract accountant_0,role,"'administrative skills', 'agency management', 'data backup', 'bookkeeping', 'business administration', 'contract management', 'finance', 'general ledger accounting', 'international business', 'procurement', 'purchasing', 'receiving', 'record keeping', 'transportation logistics'"
subcontract accountant,subcontract accountant_-1,role,"'military experience', 'direct current (dc)', 'ims database'"
subcontract accountant,subcontract accountant_1,role,"'home office setup', 'microsoft powerpoint', 'microsoft word'"
submariner,submariner_-1,role,"'computer literacy', 'database software', 'quality inspection', 'laundry operation', 'naval operations', 'national electrical code (nec)', 'radiography', 'real estate'"
submariner,submariner_0,role,"'contract management', 'cost reduction', 'central processing units (cpus)', 'electrical systems', 'energy management', 'facilities management', 'hvac systems', 'meeting management', 'business process improvement', 'procurement', 'supervision', 'technical support'"
submariner,submariner_1,role,"'plumbing', 'welding'"
supervisor accountant,supervisor accountant_0,role,"'accounts payable', 'accounts receivable', 'accruals', 'ad-hoc reporting', 'account balancing', 'balance sheet preparation', 'billing', 'bookkeeping', 'certified public accountant (cpa)', 'finance', 'financial reporting', 'general ledger accounting', 'quickbooks', 'report generation', 'sarbanes-oxley (sox) compliance'"
supervisor accountant,supervisor accountant_-1,role,"'atlas software', 'business objects', 'charting', 'government regulations', 'data visualization', 'harvard graphics', 'jd edwards enterpriseone', 'lotus notes', 'nanovision', 'ngs systems', 'phoenix e1', 'presentation skills', 'quicken', 'tax preparation', 'variance analysis'"
supervisor accountant,supervisor accountant_1,role,"'microsoft access', 'microsoft powerpoint'"
supervisor reliability engineer,supervisor reliability engineer_-1,role,"'construction management', 'facility modifications', 'recruiting', 'quality inspection', 'laser technology', 'negotiation', 'paper converting equipment operation', 'business process improvement', 'simulation', 'statistical process control (spc)', 'supervision'"
"supervisor, accounts control branch","supervisor, accounts control branch_-1",role,"'accounts payable', 'financial systems analysis', 'critical thinking', 'financial reporting', 'program management'"
support manager,support manager_-1,role,"'multitasking', 'scheduling', 'travel arrangements', 'data entry', 'email communication', 'business correspondence', 'internet research', 'data collection', 'computer programming', 'critical thinking', 'active learning', 'results-oriented', 'public speaking', 'minute taking'"
surfacing lab technician,surfacing lab technician_0,role,"'critical thinking', 'strategic thinking'"
surfacing lab technician,surfacing lab technician_1,role,"'engineering knowledge', 'chemical engineering', 'engineering operations', 'engineering standards', 'quality inspection', 'business process improvement', 'staffing', 'technical support'"
surfacing lab technician,surfacing lab technician_-1,role,"'calibration', 'complex problem solving', 'document management testing', 'google docs', 'cross-functional collaboration', 'microsoft visio', 'standard operating procedures (sop)', 'validation'"
surfacing lab technician,surfacing lab technician_2,role,"'safety committee', 'supervision'"
system developer,system developer_-1,role,"'defect detection', 'embedded software development'"
system engineer analyst,system engineer analyst_-1,role,"'application programming', 'java programming', 'requirements gathering', 'system analysis'"
system technology specialist,system technology specialist_0,role,"'critical thinking', 'data collection', 'data entry', 'email communication', 'internet research', 'business correspondence'"
system technology specialist,system technology specialist_1,role,"'multitasking', 'minute taking', 'scheduling'"
system technology specialist,system technology specialist_-1,role,"'results-oriented', 'public speaking'"
systems administrator,systems administrator_0,role,"'leetcode', 'owasp zap'"
systems administrator,systems administrator_-1,role,"'gnu debugger (gdb)', 'postman api', 'lucidchart', 'cisco', 'jira', 'github'"
systems administrator,systems administrator_1,role,"'data warehousing', 'devops', 'sensor technology', 'software as a service (saas)'"
systems analyst,systems analyst_-1,role,"'visual studio code', 'xilinx vivado', 'microsoft visio', 'junit', 'mathematics', 'vhdl', 'cascading style sheets (css)', 'sensor technology', 'matlab'"
systems engineer,systems engineer_-1,role,"'data migration', 'jenkins ci', 'owasp zap', 'ibm db2', 'root cause analysis', 'cisco', 'ruby programming', 'chemistry', 'commissioning', 'matlab'"
systems engineer,systems engineer_0,role,"'software as a service (saas)', 'unity (game engine)', 'solution architecture', 'operating systems', 'technical program management', 'data warehousing', 'microsoft visio', 'devops', 'engineering resource management', 'microsoft access', 'sql', 'vendor management'"
systems engineer,systems engineer_1,role,"'physics', 'sensor technology'"
systems engineering intern,systems engineering intern_-1,role,"'acrylic painting', 'conceptual design', 'engineer in training (eit)', 'graphic design', 'laser technology', 'microsoft powerpoint', 'microsoft word', 'progress software', 'proposal writing', 'report generation', 'robotics', 'solidworks', 'statistics', 'time management'"
tank platoon sergeant,tank platoon sergeant_-1,role,"'leadership mentoring', 'performance tracking', 'project analysis', 'security clearance'"
tax accountant,tax accountant_-1,role,"'cobol programming', 'root cause analysis', 'operating systems', 'quick learner', 'multitasking'"
tax analyst,tax analyst_-1,role,"'annual reports', 'report generation', 'team building', 'financial statement preparation', 'year-end processing', 'financial reporting', 'tax preparation', 'closing procedures', 'billing', 'analytical skills', 'accounts receivable', 'administrative skills', 'month-end close', 'record keeping', 'policy development', 'tax law', 'finance'"
teaching assistant,teaching assistant_-1,role,"'account management', 'adobe dreamweaver', 'google docs', 'grading and evaluation', 'mac os', 'matlab', 'opengl', 'procurement', 'quantitative analysis', 'self-motivation', 'student support', 'technology integration', 'valgrind', 'webgl'"
teaching assistant,teaching assistant_2,role,"'adobe photoshop', 'classroom monitoring', 'esl teaching', 'microsoft powerpoint', 'microsoft word', 'presentation skills', 'tutoring', 'microsoft visual studio'"
teaching assistant,teaching assistant_3,role,"'algebra', 'mathematics', 'geometry'"
teaching assistant,teaching assistant_1,role,"'java programming', 'linux administration', 'perl programming', 'php programming', 'r programming', 'scheme programming', 'unix'"
teaching assistant,teaching assistant_0,role,"'postgresql', 'sql', 'sqlite'"
technical support,technical support_-1,role,"'root cause analysis', 'selenium testing', 'visual studio code', 'tensorflow', 'docker', 'conflict management'"
technical support coordinator,technical support coordinator_-1,role,"'administrative skills', 'learning management systems (lms)', 'professionalism', 'crm software', 'technical support'"
technical support engineer,technical support engineer_-1,role,"'computer networking', 'dynamic host configuration protocol (dhcp)', 'window installation', 'data migration', 'messaging systems', 'ios development', 'team building', 'mcse certification', 'bridge engineering', 'ibm db2', 'geometry', 'medical imaging', 'computer programming', 'root cause analysis', 'active directory', 'java programming', 'sensor technology', 'service level agreements (sla)', 'microsoft access', 'router configuration', 'sql', 'perl programming', 'data access', 'itil', 'email communication', 'desktop support', 'microsoft technologies', 'operating systems', 'technical support', 'server administration'"
technical support specialist,technical support specialist_-1,role,"'performance tracking', 'android development', 'root cause analysis', 'security clearance', 'business processes', 'sensor technology', 'cisco', 'leadership mentoring', 'sql', 'operating systems', 'software as a service (saas)', 'ruby programming'"
technical support specialist,technical support specialist_0,role,"'ios development', 'team building', 'project analysis'"
technical support specialist,technical support specialist_1,role,"'physics', 'computer programming', 'mathematics', 'algebra'"
technical support specialists,technical support specialists_-1,role,"'government sell-offs', 'lean manufacturing', 'schematic reading'"
technician,technician_-1,role,"'chemistry', 'statistical package for the social sciences (spss)', 'electrical wiring', 'angularjs', 'ibm db2', 'record keeping', 'downtime minimization', 'graphql', 'sql', 'radar systems', 'working at heights', 'ultra high frequency (uhf)', 'geometric dimensioning and tolerancing (gd&t)'"
technician,technician_0,role,"'oscilloscope operation', 'broadcast engineering', 'physics', 'test equipment', 'geometry', 'technical planning', 'conceptual design', 'sensor technology', 'operations analysis', 'facilities management', 'algebra', 'measurement', 'computer networking', 'calibration', 'time management'"
technician,technician_1,role,"'soldering', 'rigging'"
technician and instructor,technician and instructor_0,role,"'cabling installation', 'hardware installation', 'network installation', 'network design', 'operating systems', 'network troubleshooting'"
technician and instructor,technician and instructor_1,role,"'database administration', 'database programming', 'linux programming', 'java programming'"
technician and instructor,technician and instructor_-1,role,"'firewall administration', 'ip addressing', 'monitoring and evaluation (m&e)', 'negotiation'"
technology coordinator,technology coordinator_-1,role,"'administrative skills', 'learning management systems (lms)', 'professionalism', 'crm software', 'technical support'"
teller,teller_0,role,"'contract preparation', 'utilities management', 'prime contract management', 'meeting management', 'contract management'"
teller,teller_-1,role,"'microsoft powerpoint', 'expense reporting', 'data warehousing', 'direct current (dc)', 'physics', 'computer programming', 'transportation logistics', 'sensor technology', 'microsoft word', 'account balancing', 'microstation', 'record keeping', 'capital expenditures (capex)', 'peak analysis', 'cash handling', 'civil engineering'"
teller,teller_1,role,"'team building', 'design and construction', 'project planning', 'technical specifications'"
territory sales manager,territory sales manager_-1,role,"'profit and loss (p&l) management', 'account management', 'business development', 'microsoft access', 'contract negotiation'"
test technician,test technician_0,role,"'client-server architecture', 'computer networking', 'computer sales', 'desktop support', 'time management', 'functional testing', 'hp hardware', 'hp netservers', 'quality inspection', 'laptop repair', 'lean manufacturing', 'mechanical processes', 'printer management', 'network interface cards (nics)', 'operating systems', 'operations analysis', 'product improvement', 'solidworks', 'progress software', 'protocol execution', 'purchasing', 'server administration', 'technical specifications', 'supervisory skills', 'system integration', 'technical planning', 'technical support', 'usability testing', 'windows vista'"
test technician,test technician_1,role,"'data entry', 'data migration', 'data validation'"
test technician,test technician_-1,role,"'decisiveness', 'raid configuration', 'root cause analysis'"
thermal engineering intern,thermal engineering intern_-1,role,"'ansys', 'camera operation', 'decision-making', 'instructor', 'nastran', 'operating systems', 'msc patran', 'research and development (r&d)', 'statistical process control (spc)'"
thermal engineering intern,thermal engineering intern_1,role,"'methodology', 'feature engineering', 'machining', 'mechanical design', 'physics', 'predictive modeling', 'robotics', 'solidworks'"
thermal engineering intern,thermal engineering intern_0,role,"'fortran programming', 'matlab'"
thermal technician,thermal technician_-1,role,"'government sell-offs', 'lean manufacturing', 'schematic reading'"
traffic coordinator ad manager,traffic coordinator ad manager_0,role,"'online advertising', 'ad copywriting', 'advertising', 'billing', 'salesforce'"
traffic coordinator ad manager,traffic coordinator ad manager_-1,role,"'cabling systems', 'dynamics ax', 'finance', 'focus erp', 'gantt chart scheduling', 'jira', 'oracle database', 'business process improvement', 'proposal writing', 'report generation', 'scheduling', 'workbench'"
traffic coordinator ad manager,traffic coordinator ad manager_1,role,"'microsoft teams', 'microsoft powerpoint', 'microsoft word'"
trainee,trainee_-1,role,"'c# programming', 'natural language processing (nlp)', 'scikit-learn', 'sql'"
trainee   cloud administration,trainee   cloud administration_0,role,"'credit risk modeling', 'fraud detection'"
trainee   cloud administration,trainee   cloud administration_-1,role,"'linux administration', 'natural language processing (nlp)', 'pyspark', 'r programming'"
trainee   cloud administration,trainee   cloud administration_1,role,"'portfolio analysis', 'predictive analytics'"
trainee intern,trainee intern_-1,role,"'data science', 'data visualization'"
trainee internship,trainee internship_-1,role,"'data validation', 'natural language processing (nlp)', 'r programming', 'tableau'"
training coordinator,training coordinator_-1,role,"'professionalism', 'crm software', 'prioritization', 'learning management systems (lms)', 'technical support', 'team building'"
tutor,tutor_-1,role,"'ansys', 'app development', 'cascading style sheets (css)', 'ip addressing', 'latex', 'microsoft project', 'monitoring and evaluation (m&e)', 'negotiation', 'solidworks', 'systems tool kit (stk)', 'user-centered design', 'visual basic'"
tutor,tutor_1,role,"'cabling installation', 'hardware installation', 'network installation', 'network design', 'network troubleshooting'"
tutor,tutor_0,role,"'database administration', 'database programming', 'firewall administration', 'java programming', 'linux administration', 'linux programming', 'operating systems', 'php programming', 'r programming', 'sql'"
unix administrator assistant,unix administrator assistant_-1,role,"'ibm db2', 'linux administration'"
unix administrator assistant,unix administrator assistant_0,role,"'java programming', 'oracle database', 'sql', 'unix'"
unix administrator assistant,unix administrator assistant_1,role,"'microsoft access', 'microsoft frontpage', 'microsoft visio', 'microsoft word', 'visual basic', 'windows 2000', 'windows vista'"
unmanned aerial vehicle (uav) maintenance technician,unmanned aerial vehicle (uav) maintenance technician_-1,role,"'electrical component repair', 'electrical equipment operation', 'equipment installation', 'electrostatic discharge (esd) control', 'fabrication', 'functional testing', 'live electrical work', 'lockout/tagout (loto)', 'mechanical repair', 'oil servicing', 'power generation', 'soldering', 'solenoid valves'"
used car manager,used car manager_-1,role,"'mathematics', 'cold calling', 'account management', 'business development', 'certified nursing assistant (cna)', 'multitasking'"
used car manager,used car manager_1,role,"'report generation', 'lead generation'"
used car manager,used car manager_0,role,"'computer literacy', 'customer needs assessment'"
value stream group leader,value stream group leader_-1,role,"'autodesk inventor', 'lean manufacturing', 'mentoring', 'new product development', 'business process improvement'"
vice president,vice president_-1,role,"'billing', 'cash flow projections', 'government contracting', 'jd edwards enterpriseone', 'labview', 'matlab', 'sage peachtree', 'quickbooks', 'self-motivation'"
"vice president, commercial digital services","vice president, commercial digital services_-1",role,"'analytical skills', 'client engagement', 'data storage', 'demand generation', 'government experience', 'interoperability'"
volunteer math tutor,volunteer math tutor_0,role,"'algebra', 'mathematics', 'geometry', 'grading and evaluation', 'quantitative analysis'"
volunteer math tutor,volunteer math tutor_1,role,"'classroom monitoring', 'esl teaching'"
volunteer math tutor,volunteer math tutor_-1,role,"'google docs', 'presentation skills', 'procurement', 'sql', 'student support', 'technology integration'"
vp of business development,vp of business development_-1,role,"'graphical user interface (gui) design', 'next.js', 'computer networking', 'business processes', 'balance sheet preparation', 'component object model (com)', 'clinical trials', 'fundraising', 'ios development'"
vp of business development,vp of business development_2,role,"'methodology', 'clinical research'"
vp of business development,vp of business development_0,role,"'presentation skills', 'email communication', 'public speaking'"
vp of business development,vp of business development_1,role,"'equity trading', 'bond trading', 'business development', 'innovation management', 'financial planning', 'corporate finance', 'finance'"
vp of engineering,vp of engineering_1,role,"'camera operation', 'medical imaging', 'computer vision'"
vp of engineering,vp of engineering_-1,role,"'closing procedures', 'component object model (com)', 'content creation', 'credit analysis', 'driving', 'recruiting', 'messaging systems', 'presentation skills', 'radio communications', 'receiving', 'shipping and receiving', 'storytelling', 'technical support', 'venture capital'"
vp of engineering,vp of engineering_2,role,"'contract management', 'database administration', 'software developer', 'feature engineering', 'finance', 'insurance', 'market planning', 'new product development', 'order management', 'policy development', 'pricing strategy', 'procurement', 'product development', 'product management', 'product marketing', 'program management', 'retail operations', 'sales management', 'utilities management', 'workflow management'"
vp of engineering,vp of engineering_0,role,"'data migration', 'data encryption', 'data interpretation'"
vp of engineering and operations,vp of engineering and operations_1,role,"'camera operation', 'medical imaging', 'computer vision'"
vp of engineering and operations,vp of engineering and operations_-1,role,"'closing procedures', 'component object model (com)', 'content creation', 'credit analysis', 'driving', 'recruiting', 'messaging systems', 'presentation skills', 'radio communications', 'receiving', 'shipping and receiving', 'storytelling', 'technical support', 'venture capital'"
vp of engineering and operations,vp of engineering and operations_2,role,"'contract management', 'database administration', 'software developer', 'feature engineering', 'finance', 'insurance', 'market planning', 'new product development', 'order management', 'policy development', 'pricing strategy', 'procurement', 'product development', 'product management', 'product marketing', 'program management', 'retail operations', 'sales management', 'utilities management', 'workflow management'"
vp of engineering and operations,vp of engineering and operations_0,role,"'data migration', 'data encryption', 'data interpretation'"
vp sales and marketing,vp sales and marketing_0,role,"'advertising', 'brand management', 'business development', 'direct marketing', 'sales expertise', 'fundraising', 'sales implementation', 'sales growth', 'key account management', 'sales management', 'promotional marketing', 'relationship management', 'sales forecasting', 'sales objectives', 'sales planning'"
vp sales and marketing,vp sales and marketing_-1,role,"'aviation', 'community outreach', 'cost control', 'energy management', 'finance', 'mac os', 'order processing', 'project development', 'public relations (pr)', 'quicken', 'storage area network (san)', 'scheduling', 'shipping and receiving', 'simultaneous interpretation'"
vp sales and marketing,vp sales and marketing_1,role,"'data stewardship', 'computer networking'"
vp solutions sales,vp solutions sales_1,role,"'camera operation', 'medical imaging', 'computer vision'"
vp solutions sales,vp solutions sales_-1,role,"'closing procedures', 'component object model (com)', 'content creation', 'credit analysis', 'driving', 'recruiting', 'messaging systems', 'presentation skills', 'radio communications', 'receiving', 'shipping and receiving', 'storytelling', 'technical support', 'venture capital'"
vp solutions sales,vp solutions sales_2,role,"'contract management', 'database administration', 'software developer', 'feature engineering', 'finance', 'insurance', 'market planning', 'new product development', 'order management', 'policy development', 'pricing strategy', 'procurement', 'product development', 'product management', 'product marketing', 'program management', 'retail operations', 'sales management', 'utilities management', 'workflow management'"
vp solutions sales,vp solutions sales_0,role,"'data migration', 'data encryption', 'data interpretation'"
wafer fab technician,wafer fab technician_-1,role,"'quality inspection', 'lean manufacturing', 'mechanical processes', 'protocol execution', 'supervisory skills', 'system integration'"
web developer,web developer_0,role,"'objective-c programming', 'iis 6.0', 'c# programming', 'pascal programming', 'php programming', 'vb.net', '.net', 'sql', 'perl programming', 'iis 5.0', 'graphic design'"
web developer,web developer_-1,role,"'soap', 'kanban', 'jquery', 'product owner', 'cascading style sheets (css)', 'adobe photoshop', 'apache spark'"
web developer,web developer_1,role,"'sql server integration services (ssis)', 'sql server reporting services (ssrs)', 'data transformation services (dts)'"
web developer intern,web developer intern_-1,role,"'analytical skills', 'cascading style sheets (css)', 'angularjs', 'risk assessment', 'sql', 'visual basic'"
windows administrator,windows administrator_0,role,"'active directory', 'computer networking', 'server administration'"
windows administrator,windows administrator_-1,role,"'bridge engineering', 'desktop support', 'dynamic host configuration protocol (dhcp)', 'domain name system (dns)', 'medical imaging', 'itil', 'email communication', 'mcse certification', 'messaging systems', 'data migration', 'router configuration', 'service level agreements (sla)', 'window installation'"
windows administrator,windows administrator_1,role,"'microsoft technologies', 'technical support'"
